,company,typename,inches,ram,x_res,y_res,full_hd,ips_panel,touchscreen,4k_display,cpu_type,cpu_speed,cpu_brand,primary_memory_type,primary_memory_capacity,secondary_memory_type,secondary_memory_capacity,gpu_brand,os,weight,price
0,apple,ultrabook,13.3,8,2560,1600,0,1,0,0,core i5,2.3,intel,ssd,128,no secondary memory,0,intel,mac,1.37,71378.68
1,apple,ultrabook,13.3,8,1440,900,0,0,0,0,core i5,1.8,intel,flash storage,128,no secondary memory,0,intel hd,mac,1.34,47895.52
2,hp,notebook,15.6,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,no os,1.86,30636.0
3,apple,ultrabook,15.4,16,2880,1800,0,1,0,0,core i7,2.7,intel,ssd,512,no secondary memory,0,amd radeon,mac,1.83,135195.34
4,apple,ultrabook,13.3,8,2560,1600,0,1,0,0,core i5,3.1,intel,ssd,256,no secondary memory,0,intel,mac,1.37,96095.81
5,acer,notebook,15.6,4,1366,768,0,0,0,0,a series,3.0,amd,hdd,500,no secondary memory,0,amd radeon,windows,2.1,21312.0
6,apple,ultrabook,15.4,16,2880,1800,0,1,0,0,core i7,2.2,intel,flash storage,256,no secondary memory,0,intel,mac,2.04,114017.6
7,apple,ultrabook,13.3,8,1440,900,0,0,0,0,core i5,1.8,intel,flash storage,256,no secondary memory,0,intel hd,mac,1.34,61735.54
8,asus,ultrabook,14.0,16,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,512,no secondary memory,0,nvidia geforce,windows,1.3,79653.6
9,acer,ultrabook,14.0,8,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.6,41025.6
10,hp,notebook,15.6,4,1366,768,0,0,0,0,core i5,2.5,intel,hdd,500,no secondary memory,0,intel hd,no os,1.86,20986.99
11,hp,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,hdd,500,no secondary memory,0,intel hd,no os,1.86,18381.07
12,apple,ultrabook,15.4,16,2880,1800,0,1,0,0,core i7,2.8,intel,ssd,256,no secondary memory,0,amd radeon,mac,1.83,130001.6
13,dell,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,ssd,256,no secondary memory,0,amd radeon,windows,2.2,26581.39
14,apple,ultrabook,12.0,8,2304,1440,0,1,0,0,others,1.2,intel,ssd,256,no secondary memory,0,intel hd,mac,0.92,67260.67
15,apple,ultrabook,13.3,8,2560,1600,0,1,0,0,core i5,2.3,intel,ssd,256,no secondary memory,0,intel,mac,1.37,80908.34
16,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i7,2.7,intel,ssd,256,no secondary memory,0,amd radeon,windows,2.2,39693.6
17,apple,ultrabook,15.4,16,2880,1800,0,1,0,0,core i7,2.9,intel,ssd,512,no secondary memory,0,amd radeon,mac,1.83,152274.24
18,lenovo,notebook,15.6,8,1920,1080,1,0,0,0,core i3,2.4,intel,hdd,1024,no secondary memory,0,nvidia geforce,no os,2.2,26586.72
19,dell,ultrabook,13.3,8,1920,1080,1,1,1,0,core i5,1.6,intel,ssd,128,no secondary memory,0,intel uhd,windows,1.22,52161.12
20,asus,netbook,11.6,2,1366,768,0,0,0,0,others,1.44,intel,flash storage,32,no secondary memory,0,intel hd,windows,0.98,10224.43
21,lenovo,gaming,15.6,8,1920,1080,1,1,0,0,core i5,2.5,intel,ssd,128,hdd,1024,nvidia geforce,windows,2.5,53226.72
22,hp,notebook,15.6,4,1366,768,0,0,0,0,others,1.5,amd,hdd,500,no secondary memory,0,amd radeon,no os,1.86,13746.24
23,dell,2 in 1 convertible,13.3,8,1920,1080,1,0,1,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.62,43636.32
24,hp,ultrabook,15.6,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,intel hd,windows,1.91,35111.52
25,dell,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.0,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.3,22305.14
26,apple,ultrabook,13.3,8,1440,900,0,0,0,0,core i5,1.6,intel,flash storage,128,no secondary memory,0,intel hd,mac,1.35,58554.72
27,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,amd radeon,windows,2.2,42624.0
28,dell,ultrabook,15.6,8,1920,1080,1,0,0,0,core i7,1.9,intel,ssd,256,ssd,256,intel uhd,windows,1.88,69157.44
29,hp,notebook,17.3,8,1920,1080,1,0,0,0,core i5,1.6,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,2.5,47738.88
30,chuwi,notebook,15.6,4,1920,1080,1,0,0,0,others,1.44,intel,flash storage,64,no secondary memory,0,intel hd,windows,1.89,13053.07
31,asus,notebook,14.0,2,1366,768,0,0,0,0,others,1.5,amd,flash storage,32,no secondary memory,0,amd radeon,windows,1.65,10602.72
32,hp,notebook,17.3,4,1920,1080,1,0,0,0,a series,2.5,amd,hdd,500,no secondary memory,0,amd radeon,windows,2.71,23389.92
33,dell,ultrabook,13.3,16,3200,1800,0,0,1,0,core i7,1.8,intel,ssd,512,no secondary memory,0,intel uhd,windows,1.2,99580.32
34,apple,ultrabook,13.3,8,1440,900,0,0,0,0,core i5,1.6,intel,flash storage,256,no secondary memory,0,intel hd,mac,1.35,53173.44
35,lenovo,notebook,14.0,4,1366,768,0,0,0,0,celeron,1.1,intel,flash storage,64,no secondary memory,0,intel hd,windows,1.44,13266.72
36,acer,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.7,intel,hdd,1024,no secondary memory,0,intel hd,linux,2.1,19553.76
37,dell,notebook,17.3,8,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,128,hdd,1024,amd radeon,windows,2.8,52161.12
38,hp,notebook,15.6,4,1366,768,0,0,0,0,core i5,2.5,intel,hdd,1024,no secondary memory,0,intel hd,windows,1.86,26037.4
39,hp,notebook,15.6,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,2.1,46833.12
40,asus,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,hdd,1024,no secondary memory,0,intel hd,linux,2.0,20725.92
41,dell,gaming,15.6,16,1920,1080,1,1,0,0,core i7,2.8,intel,ssd,256,hdd,1024,nvidia geforce,windows,2.65,79866.72
42,asus,notebook,15.6,8,1366,768,0,0,0,0,core i5,2.5,intel,hdd,1024,no secondary memory,0,nvidia geforce,linux,2.3,27864.91
43,acer,notebook,15.6,4,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,2.2,36336.96
44,dell,2 in 1 convertible,17.3,12,1920,1080,1,0,1,0,core i5,1.6,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,2.77,53226.72
45,apple,ultrabook,13.3,8,2560,1600,0,1,0,0,core i5,2.0,intel,ssd,256,no secondary memory,0,intel,mac,1.37,75604.32
46,lenovo,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.0,intel,ssd,128,no secondary memory,0,intel hd,no os,2.2,19660.32
47,asus,gaming,17.3,8,1920,1080,1,0,0,0,ryzen,3.0,amd,ssd,256,hdd,1024,amd radeon,windows,3.2,69210.72
48,dell,notebook,15.6,4,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,amd radeon,windows,2.3,34045.92
49,asus,notebook,17.3,4,1366,768,0,0,0,0,pentium,1.1,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,2.8,24828.48
